,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,CHEMBL63786,0.003,nM,Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,11.52287875,349.0214595,3,1,5.2891,TRUE
1,CHEMBL35820,0.006,nM,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,11.22184875,387.0582389,5,1,4.9333,TRUE
2,CHEMBL53711,0.006,nM,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.22184875,343.0432575,5,1,3.5969,TRUE
3,CHEMBL66031,0.008,nM,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,11.09691001,339.0119574,4,2,4.0122,TRUE
4,CHEMBL53753,0.008,nM,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.09691001,329.0276075,5,2,3.5726,TRUE
5,CHEMBL176582,0.01,nM,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc12,11,353.0276075,5,1,4.0226,TRUE
6,CHEMBL29197,0.025,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,10.60205999,359.0269388,5,1,4.1531,TRUE
7,CHEMBL174426,0.025,nM,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,10.60205999,353.0276075,5,1,4.0226,TRUE
8,CHEMBL1243316,0.03,nM,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\C[NH2+]CC#C,10.52287875,477.1367808,6,3,4.75878,TRUE
9,CHEMBL363815,0.037,nM,Fc1cc(Cl)c(Cl)cc1Nc1ncnc2ccc(NC(=O)C=C)cc12,10.43179828,376.0293946,4,2,4.9438,TRUE
10,CHEMBL3613702,0.037,nM,Fc1cc(Nc2ncnc3ccc(NC(=O)C=C)cc23)cc(Cl)c1Cl,10.43179828,376.0293946,4,2,4.9438,TRUE
11,CHEMBL275762,0.07,nM,Fc1cc(Cl)c(Cl)cc1Nc1ncnc2ccc(NC(=O)CCl)cc12,10.15490196,397.9904222,4,2,4.9966,TRUE
12,CHEMBL327307,0.072,nM,COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,10.1426675,436.9374509,5,1,4.9156,TRUE
14,CHEMBL53428,0.09,nM,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,10.04575749,343.0432575,5,1,3.5969,TRUE
15,CHEMBL420624,0.1,nM,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,10,314.0167085,4,2,3.7181,TRUE
16,CHEMBL55729,0.1,nM,Nc1ccc2cncnc2c1,10,145.0639972,3,1,1.212,TRUE
17,CHEMBL190094,0.11,nM,C[NH+](C)C\C=C\C(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,9.958607315,433.0872438,5,2,4.8756,TRUE
18,CHEMBL328216,0.12,nM,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,9.920818754,329.0276075,5,3,3.3003,TRUE
19,CHEMBL193160,0.12,nM,ClCC(=O)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1,9.920818754,437.9744367,4,2,4.1553,TRUE
20,CHEMBL3930620,0.12,nM,ONC(=O)CCCCCCn1cc(nn1)-c1ccc2ncnc(Nc3cccc(Cl)c3F)c2c1,9.920818754,483.1585789,8,3,4.8803,TRUE
21,CHEMBL51853,0.13,nM,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.886056648,315.0119574,5,2,3.1131,TRUE
22,CHEMBL54400,0.13,nM,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.886056648,329.0276075,5,2,3.5726,TRUE
23,CHEMBL3892310,0.13,nM,C[NH+](C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC1C2COCC12,9.886056648,511.1786456,7,2,4.4934,TRUE
24,CHEMBL417478,0.16,nM,Fc1ccc(Nc2ncnc3cc(\C=C\CCN4CCOCC4)c(NC(=O)C=C)nc23)cc1Cl,9.795880017,482.1633299,7,2,4.4209,TRUE
25,CHEMBL418967,0.17,nM,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC,9.769551079,415.089539,5,1,5.7135,TRUE
26,CHEMBL592617,0.17,nM,Brc1cccc(Nc2ncnc3ccc(NC(=O)CC#N)cc23)c1,9.769551079,381.0225221,5,2,3.98808,TRUE
27,CHEMBL93032,0.17,nM,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,9.769551079,330.9956387,5,3,3.5471,TRUE
28,CHEMBL166093,0.18,nM,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.744727495,389.0487369,7,4,2.296,TRUE
29,CHEMBL2031302,0.18,nM,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,9.744727495,386.0945817,5,2,4.6891,TRUE
30,CHEMBL166154,0.19,nM,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,9.721246399,285.0781231,5,2,3.4635,TRUE
31,CHEMBL165864,0.19,nM,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.721246399,359.0381722,6,3,2.9351,TRUE
33,CHEMBL437879,0.208,nM,COc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1OC,9.681936665,367.0290602,5,1,4.8365,TRUE
34,CHEMBL161956,0.22,nM,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.657577319,373.0538222,6,2,2.9594,TRUE
35,CHEMBL2031300,0.23,nM,C[NH+]1CCN(CC1)CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.638272164,468.1273215,6,2,3.7119,TRUE
36,CHEMBL127041,0.24,nM,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.619788758,359.0381722,6,3,2.9351,TRUE
37,CHEMBL316064,0.24,nM,COc1cc2ncnc(Nc3cccc(c3)C(F)(F)F)c2cc1OC,9.619788758,349.1038113,5,1,4.4094,TRUE
38,CHEMBL52913,0.25,nM,Clc1cccc(Nc2ncnc3cc(NC(=O)C=C)ccc23)c1,9.602059991,324.0777887,4,2,4.1513,TRUE
39,CHEMBL328955,0.25,nM,Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,9.602059991,270.067224,4,2,3.609,TRUE
40,CHEMBL3360608,0.26,nM,COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCCCn1ccnc1N(=O)=O,9.585026652,458.1702532,9,1,4.3272,TRUE
41,CHEMBL152905,0.27,nM,Nc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,9.568636236,369.9887795,5,2,4.9328,TRUE
42,CHEMBL3929484,0.27,nM,ONC(=O)CCCCCn1cc(nn1)-c1ccc2ncnc(Nc3cccc(Cl)c3F)c2c1,9.568636236,469.1429288,8,3,4.4902,TRUE
43,CHEMBL2031303,0.27,nM,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CC[NH+](C)C,9.568636236,431.1524309,6,2,4.4548,TRUE
44,CHEMBL2031298,0.27,nM,Brc1cccc(Nc2ncnc3ccc(NC(=O)CC[NH+]4CCCCC4)cc23)c1,9.568636236,453.1164225,5,2,4.9504,TRUE
45,CHEMBL128468,0.28,nM,[O-]C(=O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.552841969,401.0487369,6,3,3.8076,TRUE
46,CHEMBL355816,0.28,nM,[O-]C(=O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.552841969,373.0174367,6,3,3.0274,TRUE
47,CHEMBL2031297,0.28,nM,C[NH+](C)CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.552841969,413.0851224,5,2,4.0261,TRUE
48,CHEMBL426580,0.29,nM,Cc1nc2cc3c(Nc4cccc(Br)c4)ncnc3cc2[nH]1,9.537602002,353.0276075,4,2,4.32062,TRUE
50,CHEMBL2031305,0.29,nM,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1,9.537602002,473.1629956,7,2,4.2254,TRUE
51,CHEMBL4290812,0.3,nM,COc1cc(N2CC[NH+](C)CC2)c(NC(=O)C=C=C)cc1Nc1nccc(n1)-c1cn(C)c2ccccc12,9.522878745,509.2539232,8,2,4.4189,TRUE
52,CHEMBL3623290,0.3,nM,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CC[NH+](C)C[C@H]1C,9.522878745,459.1473455,7,1,4.3092,TRUE
53,CHEMBL3357644,0.3,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C(\F)=C/CN1CCOCC1,9.522878745,489.1379237,7,2,4.2986,TRUE
54,CHEMBL203644,0.3,nM,CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,9.522878745,355.0636159,5,2,3.5227,TRUE
58,CHEMBL3360603,0.31,nM,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCn1ccnc1N(=O)=O,9.508638306,486.121859,9,1,5.1384,TRUE
60,CHEMBL3360606,0.32,nM,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOCCn1ccnc1N(=O)=O,9.494850022,502.1167736,10,1,4.3748,TRUE
62,CHEMBL366580,0.34,nM,Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,9.468521083,339.0119574,4,2,4.0122,TRUE
63,CHEMBL163369,0.35,nM,OCC[NH+](CCO)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.455931956,460.1222361,8,4,2.6195,TRUE
64,CHEMBL91980,0.35,nM,Nc1ccc2c(Nc3cccc(I)c3)ncnc2c1,9.455931956,362.0028444,4,2,3.5602,TRUE
65,CHEMBL603266,0.36,nM,Brc1cccc(Nc2ncnc3ccc(NC(=O)CN4SC=CC4=O)cc23)c1,9.443697499,455.0051578,7,2,3.9978,TRUE
66,CHEMBL39320,0.37,nM,Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,9.431798276,353.0276075,5,1,4.0226,TRUE
68,CHEMBL599863,0.37,nM,Brc1cccc(Nc2ncnc3ccc(NC(=O)CNC(=O)Oc4ccccc4)cc23)c1,9.431798276,491.0593015,6,3,4.863,TRUE
69,CHEMBL3895468,0.37,nM,C[NH+](C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC12COCC1C2,9.431798276,511.1786456,7,2,4.6375,TRUE
70,CHEMBL2029434,0.38,nM,COc1cc(ccc1Nc1ncc2CN(C(C)C)C(=O)N(c3cccc(NC(=O)C=C)c3)c2n1)N1CC[NH+](C)CC1,9.420216403,556.291037,8,2,4.5872,TRUE
71,CHEMBL2447950,0.38,nM,CCOc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCC,9.420216403,379.0854322,5,1,5.246,TRUE
72,CHEMBL4282543,0.4,nM,COc1cc(OCCN2CC[NH+](C)CC2)c(NC(=O)C=C=C)cc1Nc1nccc(n1)-c1cn(C)c2ccccc12,9.397940009,553.280138,9,2,4.2933,TRUE
73,CHEMBL51741,0.4,nM,Brc1ccc2CCN(c2c1)c1ncnc2ccc(NC(=O)C=C)cc12,9.397940009,394.0429232,4,1,4.211,TRUE
74,CHEMBL3901622,0.4,nM,C[C@@H](Nc1ncnc2oc(cc12)-c1ccc(NCC[NH+](C)C)cc1)c1ccccc1,9.397940009,401.2215605,6,2,5.0364,TRUE
75,CHEMBL3759317,0.4,nM,COc1cc(cc(OC)c1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1)C(=O)NCC[NH+](C)C,9.397940009,505.2147609,8,2,4.84,TRUE
76,CHEMBL4112924,0.4,nM,CO[C@@H]1COC2[C@@H](COC12)Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\C[NH+](C)C,9.397940009,557.1841249,9,2,3.7822,TRUE
78,CHEMBL1204199,0.41,nM,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,9.387216143,423.0349166,5,1,5.3551,TRUE
79,CHEMBL2029429,0.41,nM,COc1cc(Nc2ncc3CN(C)C(=O)N(c4cccc(NC(=O)C=C)c4)c3n2)ccc1N1CC[NH+](C)CC1,9.387216143,528.2597369,8,2,3.8086,TRUE
80,CHEMBL31815,0.42,nM,Cc1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1,9.37675071,304.1324111,4,2,3.80632,TRUE
81,CHEMBL188762,0.43,nM,CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.366531544,370.0429232,4,2,4.4844,TRUE
82,CHEMBL2029428,0.43,nM,CN1Cc2cnc(Nc3ccc(cc3)N3CC[NH+](C)CC3)nc2N(C1=O)c1cccc(NC(=O)C=C)c1,9.366531544,498.2491722,7,2,3.8,TRUE
83,CHEMBL351629,0.44,nM,CN(CC([O-])=O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.356547324,387.0330868,6,2,3.0517,TRUE
84,CHEMBL39337,0.44,nM,Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,9.356547324,339.0119574,4,2,4.0122,TRUE
85,CHEMBL40734,0.44,nM,Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,9.356547324,338.0167085,3,2,4.6172,TRUE
86,CHEMBL443523,0.45,nM,Brc1cccc(Nc2ncnc3cc(NC(=O)C=C)ccc23)c1,9.346787486,368.0272731,4,2,4.2604,TRUE
87,CHEMBL304271,0.45,nM,CC[NH+](CC)CC(O)CNC(=O)c1cc(C)c([nH]1)\C=C1/C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c12,9.346787486,541.2004437,7,5,3.57442,TRUE
88,CHEMBL162821,0.45,nM,CNc1cc2c(Nc3cccc(C)c3)ncnc2cn1,9.346787486,265.1327455,5,2,3.11852,TRUE
89,CHEMBL3360609,0.47,nM,COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCCCCn1ccnc1N(=O)=O,9.327902142,472.1859032,9,1,4.7173,TRUE
90,CHEMBL3818015,0.47,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1NC(=O)[C@@H]1COC(=O)N1,9.327902142,457.0385661,7,3,3.1914,TRUE
91,CHEMBL539822,0.47,nM,Nc1ccc2c(c1)sc1c(Nc3cccc(Br)c3)ncnc21,9.327902142,405.9654572,5,2,5.3546,TRUE
92,CHEMBL3355875,0.47,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCn1ccnc1N(=O)=O,9.327902142,486.121859,9,1,5.1384,TRUE
93,CHEMBL54088,0.48,nM,Cc1cccc(Nc2ncnc3cnc(NC(=O)C=C)cc23)c1,9.318758763,305.1276601,5,2,3.20132,TRUE
94,CHEMBL3360617,0.49,nM,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCn1ccnc1N(=O)=O,9.30980392,498.0651152,9,1,4.7183,TRUE
95,CHEMBL2021576,0.49,nM,[O-]C(=O)[C@H]1O[C@@H]1C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.30980392,428.012017,6,3,2.9264,TRUE
96,CHEMBL3355881,0.49,nM,COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCCCCn1ccnc1N(=O)=O,9.30980392,472.1859032,9,1,4.7173,TRUE
97,CHEMBL3355882,0.5,nM,COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCCCCCn1ccnc1N(=O)=O,9.301029996,486.2015533,9,1,5.1074,TRUE
99,CHEMBL4071474,0.5,nM,C[NH+]1CCN(CC1)c1ccc(Nc2ncc3CN(C(=O)N([C@H]4CCN(C4)C(=O)C=C)c3n2)c2ccccc2Cl)cc1C,9.301029996,586.25715,7,1,4.66732,TRUE
100,CHEMBL203599,0.5,nM,C[NH+]1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cn2)CC1,9.301029996,467.1636643,7,2,3.1403,TRUE
101,CHEMBL2347958,0.5,nM,C[NH+](C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@@H]1CCOC1,9.301029996,485.1629956,7,2,4.3899,TRUE
102,CHEMBL3758770,0.5,nM,COc1cc(ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1)C(=O)NCC[NH+](C)C,9.301029996,475.2041962,7,2,4.8314,TRUE
103,CHEMBL2021575,0.5,nM,[O-]C(=O)[C@@H]1O[C@H]1C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.301029996,428.012017,6,3,2.9264,TRUE
105,CHEMBL3758582,0.5,nM,COc1ccc(cc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1)C(=O)NCC[NH+](C)C,9.301029996,475.2041962,7,2,4.8314,TRUE
106,CHEMBL3901296,0.51,nM,C[NH+](C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC[C@@]12COC[C@@H]1C2,9.292429824,511.1786456,7,2,4.6375,TRUE
107,CHEMBL2031299,0.51,nM,Brc1cccc(Nc2ncnc3ccc(NC(=O)CCN4CCOCC4)cc23)c1,9.292429824,455.095687,6,2,3.7967,TRUE
109,CHEMBL2031304,0.51,nM,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CC[NH+]1CCCCC1,9.292429824,471.183731,6,2,5.3791,TRUE
110,CHEMBL126791,0.51,nM,Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,9.292429824,423.0807057,7,2,4.2296,TRUE
113,CHEMBL49986,0.54,nM,Brc1cccc(Nc2ncnc3cc(NC(=O)C=C)ncc23)c1,9.26760624,369.0225221,5,2,3.6554,TRUE
115,CHEMBL3360611,0.54,nM,COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCOCCn1ccnc1N(=O)=O,9.26760624,474.1651678,10,1,3.5636,TRUE
116,CHEMBL165547,0.56,nM,CN(CC(O)CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.251811973,403.0643869,7,3,2.3203,TRUE
117,CHEMBL3355880,0.56,nM,COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCCCn1ccnc1N(=O)=O,9.251811973,458.1702532,9,1,4.3272,TRUE
119,CHEMBL3360610,0.57,nM,COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCCCCCn1ccnc1N(=O)=O,9.244125144,486.2015533,9,1,5.1074,TRUE
120,CHEMBL2029435,0.58,nM,COc1cc(ccc1Nc1ncc2CN(C3CC3)C(=O)N(c3cccc(NC(=O)C=C)c3)c2n1)N1CC[NH+](C)CC1,9.236572006,554.2753869,8,2,4.3412,TRUE
121,CHEMBL4282954,0.6,nM,COc1cc(N2CCOCC2)c(NC(=O)C=C=C)cc1Nc1nccc(n1)-c1cn(C)c2ccccc12,9.22184875,496.2222888,8,2,4.5037,TRUE
122,CHEMBL4105621,0.6,nM,COc1cc(ccc1Nc1ncc2C(C)=CC(=O)N(c3cc(Cl)cc(NC(=O)C=C)c3)c2n1)N1CC[NH+](C)CC1,9.22184875,559.2098655,9,2,4.37102,TRUE
123,CHEMBL3891846,0.6,nM,C[C@@H](Nc1ncnc2oc(cc12)-c1ccc(NCC[NH+]2CCCCC2)cc1)c1ccccc1,9.22184875,441.2528606,6,2,5.9607,TRUE
124,CHEMBL378144,0.6,nM,Brc1cccc(Nc2ncnc3cnc(NC(=O)C#C)cc23)c1,9.22184875,367.006872,5,2,3.1026,TRUE
125,CHEMBL127086,0.61,nM,[O-]C(=O)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.214670165,387.0330868,6,3,3.4175,TRUE
126,CHEMBL1204262,0.64,nM,CCOc1cc2ncnc(Nc3cccc(I)c3)c2cc1OCC,9.193820026,471.0210525,5,1,5.1972,TRUE
127,CHEMBL3920583,0.65,nM,ONC(=O)CCCCCn1cc(nn1)-c1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,9.187086643,469.1429288,8,3,4.4902,TRUE
128,CHEMBL162622,0.65,nM,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,9.187086643,428.0960214,7,2,3.275,TRUE
129,CHEMBL3360607,0.65,nM,COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCCn1ccnc1N(=O)=O,9.187086643,444.1546031,9,1,3.9371,TRUE
130,CHEMBL3355878,0.66,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCn1ccnc1N(=O)=O,9.180456064,498.0651152,9,1,4.7183,TRUE
131,CHEMBL1204168,0.66,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,9.180456064,395.0036165,5,1,4.5749,TRUE
132,CHEMBL3814257,0.662,nM,CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,9.179142011,330.0683669,4,2,4.1243,TRUE
133,CHEMBL3357636,0.67,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C(\F)=C/C[NH+]1CCCCC1,9.173925197,487.1586591,6,2,5.4523,TRUE
134,CHEMBL317925,0.67,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2c(OC)c1OC,9.173925197,389.0375035,6,1,4.1617,TRUE
135,CHEMBL2437462,0.677,nM,C[NH+]1CCN(CC1)c1ccc(Nc2ncc3N=CC(=O)N(c4cccc(NC(=O)C=C)c4)c3n2)cc1,9.169411331,482.2178721,9,2,2.7956,TRUE
136,CHEMBL2031307,0.68,nM,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CC[NH+](C)C,9.167491087,455.1524309,6,2,4.93148,TRUE
137,CHEMBL92937,0.69,nM,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,9.161150909,343.0432575,5,3,3.7598,TRUE
138,CHEMBL3957055,0.69,nM,ONC(=O)CCCCCCn1cc(nn1)-c1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,9.161150909,483.1585789,8,3,4.8803,TRUE
139,CHEMBL280757,0.69,nM,Fc1ccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)cc1Br,9.161150909,386.0178513,4,2,4.3995,TRUE
140,CHEMBL3909201,0.7,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3F)c2cc1OC1CN(C1)C(=O)C=C,9.15490196,446.0957245,6,1,4.0892,TRUE
142,CHEMBL4279016,0.7,nM,COc1cc(N2CCC(CC2)[NH+]2CCN(C)CC2)c(NC(=O)C=C=C)cc1Nc1nccc(n1)-c1cn(C)c2ccccc12,9.15490196,592.3274225,9,2,4.8833,TRUE
143,CHEMBL4287401,0.7,nM,COc1cc(OCCN2CCOCC2)c(NC(=O)C=C=C)cc1Nc1nccc(n1)-c1cn(C)c2ccccc12,9.15490196,540.2485035,9,2,4.3781,TRUE
144,CHEMBL4293145,0.7,nM,COc1cc(O[C@H]2CCOC2)c(NC(=O)C=C=C)cc1Nc1nccc(n1)-c1cn(C)c2ccccc12,9.15490196,497.2063043,8,2,4.8348,TRUE
145,CHEMBL4294211,0.7,nM,COc1cc(N2CCC(CC2)[NH+]2CCOCC2)c(NC(=O)C=C=C)cc1Nc1nccc(n1)-c1cn(C)c2ccccc12,9.15490196,579.295788,9,2,4.9681,TRUE
146,CHEMBL4284071,0.71,nM,Clc1cnc(Nc2ccc(CN3CCOCC3)cc2)nc1Nc1cccc(NC(=O)C=C)c1,9.148741651,464.1727517,7,3,4.5739,TRUE
147,CHEMBL289213,0.72,nM,C[NH+](CC([O-])=O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,9.142667504,439.0643869,5,3,4.1336,TRUE
148,CHEMBL54091,0.72,nM,Fc1ccc(Nc2ncnc3cnc(NC(=O)C=C)cc23)cc1Br,9.142667504,387.0131003,5,2,3.7945,TRUE
149,CHEMBL339416,0.74,nM,Brc1cccc(Nc2ncnc3cc(NCCCN4(=O)CCOCC4)ncc23)c1,9.13076828,458.1065861,7,2,3.6777,TRUE
150,CHEMBL31373,0.75,nM,Fc1ccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)cc1Cl,9.124938737,342.0683669,4,2,4.2904,TRUE
151,CHEMBL28418,0.75,nM,Fc1ccc(Nc2ncnc3ccc(NC(=O)C=C)nc23)cc1Cl,9.124938737,343.0636159,5,2,3.6854,TRUE
152,CHEMBL53555,0.77,nM,Fc1ccc(Nc2ncnc3cnc(NC(=O)C=C)cc23)cc1Cl,9.113509275,343.0636159,5,2,3.6854,TRUE
153,CHEMBL3360602,0.77,nM,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCn1ccnc1N(=O)=O,9.113509275,472.106209,9,1,4.7483,TRUE
154,CHEMBL3814882,0.772,nM,Brc1cccc(Nc2ncnc3ccc(NC(=O)NCC[NH+]4CCCCC4)cc23)c1,9.1123827,468.1273215,5,3,4.7433,TRUE
157,CHEMBL162142,0.78,nM,Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,9.107905397,409.0650556,6,3,3.9086,TRUE
158,CHEMBL53300,0.79,nM,Nc1ccc2ncncc2c1,9.102372909,145.0639972,3,1,1.212,TRUE
160,CHEMBL36727,0.8,nM,Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,9.096910013,352.0323585,4,1,4.6276,TRUE
163,CHEMBL4087740,0.8,nM,COc1cc(ccc1Nc1ncc2C(C)=CC(=O)N(c3cc(F)cc(NC(=O)C=C)c3)c2n1)N1CC[NH+](C)CC1,9.096910013,543.239416,9,2,3.85672,TRUE
164,CHEMBL1243345,0.8,nM,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)CCF,9.096910013,499.1586591,6,2,5.43728,TRUE
165,CHEMBL3814959,0.803,nM,NC(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3)c2c1,9.095284455,357.0225221,4,3,3.6265,TRUE
166,CHEMBL3360620,0.82,nM,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCOCCn1ccnc1N(=O)=O,9.086186148,528.0756799,10,1,4.3448,TRUE
168,CHEMBL3814211,0.854,nM,NC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,9.068542129,331.0636159,4,3,3.6565,TRUE
169,CHEMBL3355874,0.89,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCn1ccnc1N(=O)=O,9.050609993,472.106209,9,1,4.7483,TRUE
171,CHEMBL96065,0.89,nM,COc1cc2ncnc(Nc3cccc(I)c3)c2cc1OC,9.050609993,407.0130747,5,1,3.9952,TRUE
172,CHEMBL3233785,0.9,nM,Fc1ccc(Nc2ncnc3sc(NC(=O)\C=C\CN4CC5CCC4C(=O)C5)cc23)cc1Cl,9.045757491,485.1088518,7,2,4.7755,TRUE
173,CHEMBL3759199,0.9,nM,COc1cccc(OC)c1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2s1,9.045757491,407.1303625,7,2,4.521,TRUE
174,CHEMBL3946096,0.9,nM,CNC(=O)[C@H]1C[C@@H](CCN1C(=O)C=C)Oc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1OC,9.045757491,531.1484884,7,2,3.984,TRUE
